metric,mean,ci_low,ci_high,n
bertscore_f1,0.744340,0.728182,0.760498,31
citation_precision,0.225806,0.201814,0.249799,31
citation_recall,0.790323,0.702033,0.878613,31
content_f1,0.250424,0.203682,0.297165,31
factual_consistency_normalized,0.532258,0.488302,0.576214,31
factual_consistency_score,3.129032,2.953208,3.304856,31
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.572581,0.516030,0.629132,31
llm_context_relevance,0.540323,0.494330,0.586315,31
llm_faithfulness,0.588710,0.535185,0.642234,31
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.854839,0.765548,0.944129,31
mrr@3,0.854839,0.765548,0.944129,31
mrr@5,0.854839,0.765548,0.944129,31
ndcg@10,0.738576,0.662714,0.814438,31
ndcg@3,0.706236,0.621638,0.790835,31
ndcg@5,0.738576,0.662714,0.814438,31
recall@10,0.790323,0.702033,0.878613,31
recall@3,0.725806,0.636765,0.814848,31
recall@5,0.790323,0.702033,0.878613,31
rouge_l_recall,0.447620,0.371350,0.523890,31
semantic_sim,0.790951,0.763112,0.818790,31
